,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
495,3/28/2003,The Core,85000000,31111260,74132631
496,5/9/1997,Father's Day,85000000,28681080,35681080
497,12/20/2017,The Greatest Showman,84000000,174312158,389980256
498,6/14/2002,Scooby-Doo,84000000,153294164,276294164
499,7/28/2000,Nutty Professor II: The Klumps,84000000,123307945,166307945
500,7/19/2013,RED 2,84000000,53262560,141507355
501,6/23/2006,Click,82500000,137355633,237685089
502,12/15/2006,Charlotte's Web,82500000,82985708,143985708
503,2/14/2008,Jumper,82500000,80172128,222640812
504,7/11/2008,Hellboy II: The Golden Army,82500000,75986503,160388063
505,5/27/2005,The Longest Yard,82000000,158119460,191558505
506,8/13/2010,The Expendables,82000000,103068524,268268174
507,11/17/2000,The 6th Day,82000000,34543701,96024898
508,5/23/2003,Bruce Almighty,81000000,242704995,484468608
509,3/23/2012,The Hunger Games,80000000,408010692,677923379
510,5/26/2011,The Hangover Part II,80000000,254464305,586464305
511,5/21/1996,Mission: Impossible,80000000,180981886,457697994
512,2/10/2017,The Lego Batman Movie,80000000,175750384,310854446
513,9/25/2015,Hotel Transylvania 2,80000000,169700110,470751398
514,6/18/1992,Batman Returns,80000000,162833635,266824291
515,5/7/1999,The Mummy,80000000,155385488,416385488
516,5/19/2006,Over the Hedge,80000000,155019340,343397247
517,6/21/2002,Lilo & Stitch,80000000,145771527,245800000
518,5/8/1998,Deep Impact,80000000,140464664,349464664
519,7/12/2013,Grown Ups 2,80000000,133668525,247023808
520,12/16/2011,Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523
521,6/20/2008,Get Smart,80000000,130319208,226739416
522,3/11/2005,Robots,80000000,128200012,260700012
523,2/19/2010,Shutter Island,80000000,128012934,299461782
524,12/12/2003,Something's Gotta Give,80000000,124685242,266685242
525,11/26/2008,Four Christmases,80000000,120146040,168311558
526,6/27/1997,Face/Off,80000000,112276146,241200000
527,12/25/2008,Bedtime Stories,80000000,110101975,221468935
528,7/12/2002,Road to Perdition,80000000,104054514,183354514
529,2/11/2011,Just Go With It,80000000,103028109,214974953
530,2/14/2003,Daredevil,80000000,102543518,182782518
531,9/26/2008,Eagle Eye,80000000,101440743,178066569
532,6/6/1997,Con Air,80000000,101117573,224117573
533,12/17/2010,Yogi Bear,80000000,100246011,204774690
534,12/25/2003,Cold Mountain,80000000,95632614,165173909
535,1/15/2010,The Book of Eli,80000000,94835059,158750817
536,11/26/1997,Flubber,80000000,92993801,177993801
537,7/23/1999,The Haunting,80000000,91188905,180188905
538,11/15/1996,Space Jam,80000000,90463534,250200000
539,10/17/2014,Fury,80000000,85817906,210315681
540,2/10/2006,The Pink Panther,80000000,82226474,158926474
541,7/8/2011,Zookeeper,80000000,80360866,170805525
542,12/12/2008,The Day the Earth Stood Still,80000000,79366978,233066978
543,8/8/1997,Conspiracy Theory,80000000,76118990,142783718
544,6/12/1998,"Six Days, Seven Nights",80000000,74339294,164800000
545,5/24/2002,Spirit: Stallion of the Cimarron,80000000,73215310,106515310
546,6/8/2001,Swordfish,80000000,69772969,147080413
547,12/31/1999,Fantasia 2000 (Theatrical Release),80000000,69610858,69610858
548,4/3/1998,Lost In Space,80000000,69117629,136047317
549,7/30/2004,The Manchurian Candidate,80000000,65948711,96148711
550,11/22/2006,DÃ©jÃ Vu,80000000,64038616,181038616
551,6/24/2005,Bewitched,80000000,63313159,131159306
552,3/8/2002,The Time Machine,80000000,56684819,98983590
553,10/2/1998,What Dreams May Come,80000000,55485043,71485043
554,12/25/1998,Mighty Joe Young,80000000,50632037,50632037
555,10/28/2005,The Legend of Zorro,80000000,45575336,141475336
556,11/10/2000,Little Nicky,80000000,39442871,58270391
557,9/25/2009,Surrogates,80000000,38577772,119668350
558,6/8/2001,Evolution,80000000,38311134,98341932
559,8/26/2005,The Brothers Grimm,80000000,37899638,105299638
560,12/13/1996,Mars Attacks!,80000000,37771017,101371017
561,4/14/2006,The Wild,80000000,37384046,99010667
562,12/20/2013,Walking with Dinosaurs,80000000,36076121,123386322
563,12/22/2000,Thirteen Days,80000000,34566746,66554547
564,12/6/1996,Daylight,80000000,32908290,158908290
565,10/23/2015,The Last Witch Hunter,80000000,27367660,131234406
566,2/21/2014,Pompeii,80000000,23169033,108469033
567,5/12/2000,Battlefield Earth: A Saga of the Year 3000,80000000,21471685,29725663
568,11/14/2003,Looney Tunes: Back in Action,80000000,20950820,54540662
569,12/18/2009,Nine,80000000,19676965,53508858
570,11/26/2003,Timeline,80000000,19480739,26703184
571,4/22/2010,Oceans,80000000,19422319,86787530
572,11/25/1998,Babe: Pig in the City,80000000,18319860,69131860
573,12/25/1997,The Postman,80000000,17650704,20841123
574,11/10/2000,Red Planet,80000000,17480890,33463969
575,1/12/2007,Arthur et les Minimoys,80000000,15132763,113325743
576,8/17/2007,The Invasion,80000000,15074191,40147042
577,9/2/2005,A Sound of Thunder,80000000,1900451,6300451
578,6/15/1994,The Lion King,79300000,421785283,986418360
579,2/10/2012,Journey 2: The Mysterious Island,79000000,103860290,318146162
580,11/11/2011,Jack and Jill,79000000,74158157,150519217
581,12/21/2001,A Beautiful Mind,78000000,170708996,317668058
582,9/27/2013,Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649
583,10/4/2002,Red Dragon,78000000,92955420,206455420
584,3/5/2004,Hidalgo,78000000,67286731,108086731
585,7/11/2003,The League of Extraordinary Gentlemen,78000000,66465204,179265204
586,8/20/2004,Exorcist: The Beginning,78000000,41814863,43957541
587,12/31/2012,AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,77600000,0,60680125
588,2/12/2016,The Little Prince,77500000,1311213,103386888
589,7/3/2013,Despicable Me 2,76000000,368065385,975216835
590,6/6/2003,2 Fast 2 Furious,76000000,127120058,236410607
591,12/25/2006,Children of Men,76000000,35552383,69845011
592,6/30/2000,The Adventures of Rocky & Bullwinkle,76000000,26000610,35129610
593,7/8/2016,The Secret Life of Pets,75000000,368384330,886779788
594,7/2/1996,Independence Day,75000000,306169255,817400878
595,12/21/2016,Sing,75000000,270329045,634953727
596,6/30/2017,Despicable Me 3,75000000,264624300,1034530156
597,5/22/1997,The Lost World: Jurassic Park,75000000,229086679,618638999
598,3/31/2006,Ice Age: The Meltdown,75000000,195330621,651899282
599,5/27/2005,Madagascar,75000000,193595521,556559566
600,6/25/2010,Grown Ups,75000000,162001186,272223430
601,10/1/2004,Shark Tale,75000000,161412000,371917043
602,7/14/2000,X-Men,75000000,157299717,296872367
603,6/27/2008,Wanted,75000000,134508551,342416460
604,6/7/1996,The Rock,75000000,134069511,336069511
605,2/13/2004,50 First Dates,75000000,120776832,196320329
606,7/20/2007,Hairspray,75000000,118871849,203035572
607,5/31/2013,Now You See Me,75000000,117723989,342769200
608,12/15/2006,Dreamgirls,75000000,103365956,155708695
609,7/23/1999,Inspector Gadget,75000000,97387965,97387965
610,11/11/2011,Immortals,75000000,83504017,211562435
611,6/18/2004,The Terminal,75000000,77073959,218673959
612,2/18/2005,Constantine,75000000,75976178,221594911
613,7/21/2006,Monster House,75000000,73661010,141267370
614,12/8/2000,Vertical Limit,75000000,68473360,213500000
615,12/21/2007,Charlie Wilson's War,75000000,66661095,119512771
616,4/16/1999,Life,75000000,64062587,73521587
617,3/4/2005,Be Cool,75000000,55849401,94944017
618,12/23/2005,Munich,75000000,47379090,131492772
619,6/4/2010,Killers,75000000,47059963,95572749
620,8/14/2015,The Man From U.N.C.L.E.,75000000,45445109,105445109
621,3/7/2003,Tears of the Sun,75000000,43632458,85632458
622,7/21/2006,Lady in the Water,75000000,42285169,72785169
623,12/17/2004,Spanglish,75000000,42044321,54344321
624,10/12/2001,Bandits,75000000,41523271,71523271
625,12/17/1999,Anna and the King,75000000,39251128,39251128
626,7/7/1995,First Knight,75000000,37361412,127361412
627,3/25/2011,Sucker Punch,75000000,36392502,89758389
628,3/11/2005,Hostage,75000000,34636443,77636443
629,10/28/2016,Inferno,75000000,34343574,219561188
630,6/13/2003,Hollywood Homicide,75000000,30207785,50409753
631,6/16/2000,Titan A.E.,75000000,22751979,36751979
632,12/17/2004,Flight of the Phoenix,75000000,21009180,34009180
633,10/23/1998,Soldier,75000000,14623082,14623082
634,1/15/1999,Virus,75000000,14010690,30626690
635,2/23/2001,Monkeybone,75000000,5409517,5409517
636,7/10/2015,Minions,74000000,336045770,1167245366
637,2/6/2015,The SpongeBob Movie: Sponge Out of Water,74000000,162994032,311594032
638,11/22/2000,Unbreakable,73243106,94999143,248099143
639,8/4/2006,Talladega Nights: The Ballad of Ricky Bobby,73000000,148213377,162870525
640,5/20/2016,The Angry Birds Movie,73000000,107509366,352829528
641,8/7/1998,Snake Eyes,73000000,55591409,103891409
642,2/13/1998,Sphere,73000000,37068294,50168294
643,7/27/2007,The Simpsons Movie,72500000,183135014,527071022
644,2/8/2008,Fool's Gold,72500000,70231041,109362966
645,7/31/2009,Funny People,72500000,51855045,71880305
646,9/28/2007,The Kingdom,72500000,47467250,86509602
647,6/22/2001,Dr. Dolittle 2,72000000,112950721,176101721
648,5/24/1995,Braveheart,72000000,75545647,209045244
649,11/4/2005,Jarhead,72000000,62647540,96947540
650,4/27/2001,Driven,72000000,32616869,54616869
651,12/21/2001,The Majestic,72000000,27796042,37306334
652,6/25/2004,Two Brothers,72000000,19176754,62176754
653,7/30/2004,The Village,71682975,114197520,257641634
654,6/26/1998,Doctor Dolittle,71500000,144156605,294156605
655,8/2/2002,Signs,70702619,227969295,408269295
656,5/19/2004,Shrek 2,70000000,441226247,937008132
657,6/9/2006,Cars,70000000,244082982,461651246
658,12/23/2009,Alvin and the Chipmunks: The Squeakquel,70000000,219614612,443483213
659,6/22/1988,Who Framed Roger Rabbit?,70000000,154112492,351500000
660,7/30/1999,Runaway Bride,70000000,152257509,310138178
661,8/9/2002,xXx,70000000,141930000,267200000
662,11/8/1996,Ransom,70000000,136492681,308700000
663,6/8/2018,Oceanâs 8,70000000,133322721,251873848
664,8/21/2009,Inglourious Basterds,70000000,120774594,316915264
665,12/11/1991,Hook,70000000,119654823,300854823
666,7/3/1990,Die Hard 2,70000000,117323878,239814025
667,8/8/2003,S.W.A.T.,70000000,116877597,207154748
668,11/10/2017,Daddyâs Home 2,70000000,104029443,176154137
669,11/19/1999,Sleepy Hollow,70000000,101068340,207068340
670,12/14/2001,Vanilla Sky,70000000,100614858,202726605
671,6/13/1997,Hercules,70000000,99112101,250700000
672,3/22/2013,Olympus Has Fallen,70000000,98927592,150562164
673,3/11/2011,Battle: Los Angeles,70000000,83552429,213463976
674,8/13/2004,AVP: Alien Vs. Predator,70000000,80281096,172543519
675,12/25/2011,War Horse,70000000,79883359,156815529
676,3/1/2002,We Were Soldiers,70000000,78120196,114658262
677,2/7/2014,The Monuments Men,70000000,78031620,158702748
678,9/23/2016,Storks,70000000,72679278,174030321
679,12/11/1998,Star Trek: Insurrection,70000000,70187658,117800000
