,Genre,Language,Nudity,Rating,Sex,Title,Violence
337,Drama,Light,Medium,R,Medium,Lady Macbeth,Heavy
338,Fantasy,Light,Light,R,Light,A Ghost Story,Light
339,Science-Fiction,Heavy,Light,PG-13,Light,Spider-Man:  Homecoming,Medium
340,Comedy,Heavy,Medium,R,Light,The House,Heavy
341,Comedy,Heavy,Heavy,R,Medium,The Little Hours,Medium
342,Animated,None,None,PG,None,Despicable Me 3,Medium
343,Science Fiction,Light,None,PG-13,None,War For The Planet Of The Apes,Medium
344,Thriller,Heavy,None,R,None,Baby Driver,Heavy
345,Evangelical drama,Light,None,Not rated by MPAA,Light,The Apostle,Medium
346,Drama,Medium,None,R,Light,Beatriz At Dinner,Heavy
347,Comedy,Light,Medium,PG-13,Light,3 Idiotas,Light
348,Thriller,Light,Light,R,Medium,The Beguiled,Heavy
349,Romantic Comedy,Heavy,None,R,Light,The Big Sick,None
350,Science Fiction,Heavy,Light,PG-13,Light,Transformers:  The Last Knight,Medium
351,Drama,Medium,None,PG-13,Light,The Book Of Henry,Medium
352,Thriller,Medium,Light,PG-13,None,47 Meters Down,Heavy
353,Drama,Heavy,Medium,R,Medium,All Eyez On Me,Medium
354,Comedy,Heavy,Medium,R,Medium,Rough Night,Medium
355,Drama,Light,None,PG-13,Light,Maudie,Light
356,Animated,None,None,G,None,Cars 3,Light
357,Documentary,None,Light,Not Rated,None,The King’S Highway,Light
358,Romantic Comedy,Light,None,PG,None,The Wedding Plan,Light
359,Horror,Medium,Light,R,Light,It Comes At Night,Heavy
360,Romantic Comedy,Medium,Light,PG-13,Medium,Dean,Light
361,Fantasy,Medium,Medium,PG-13,Medium,The Mummy (2017),Heavy
362,Drama,Light,None,PG-13,Light,A Quiet Passion,None
363,Fantasy,Light,Light,PG-13,Light,Wonder Woman,Medium
364,Drama,Medium,None,PG,None,Churchill,Light
365,Mystery,Medium,Light,PG-13,Medium,My Cousin Rachel (2017),Light
366,Drama,Heavy,None,PG-13,Light,Megan Leavey,Light
367,Drama,None,None,Code Approved,None,War And Peace (1956),Medium
368,Fantasy,None,None,Not Rated,Light,Baahubali:  The Beginning,Heavy
369,Animated,None,Light,PG,None,Captain Underpants:  The First Epic Movie,Light
370,Fantasy,None,Light,Not Rated,None,Baahubali 2:  The Conclusion,Heavy
371,Drama,Medium,Medium,R,Medium,The Hero,Light
372,Comedy,Heavy,Heavy,R,Medium,Baywatch,Heavy
373,Fantasy,Light,Light,PG-13,Light,Pirates Of The Caribbean: Dead Men Tell No Tales,Medium
374,Drama,Heavy,Medium,PG-13,Medium,Lowriders,Medium
375,Romantic Drama,Light,None,PG-13,Medium,"Everything, Everything",Light
376,War Drama,Heavy,None,R,Light,The Wall,Heavy
377,Comedy,Light,Light,PG,None,Diary Of A Wimpy Kid: The Long Haul,Light
378,Comedy,Heavy,Medium,R,Medium,Snatched,Medium
379,Fantasy,Medium,Light,PG-13,Light,King Arthur:  Legend Of The Sword,Medium
380,Documentary,None,None,Not Rated,Light,Kedi,Light
381,Drama,None,None,PG,None,The Adventures Of Mickey Matson And The Copperhead Treasure,Light
382,Romantic Comedy,Light,None,PG,Light,Paris Can Wait,Light
383,Science Fiction,Heavy,Medium,R,Medium,Alien: Covenant,Heavy
384,Science Fiction,Heavy,Light,PG-13,Light,Guardians Of The Galaxy Vol. 2,Medium
385,Comedy,Medium,Light,PG-13,Light,How To Be A Latin Lover,Light
386,Comedy,Heavy,Medium,R,Medium,The Lovers,Light
387,Drama,Heavy,None,R,None,The Dinner,Heavy
388,Fantasy,Light,None,Not Rated,None,77 Chances,Light
389,Drama,Heavy,Medium,PG-13,Medium,3 Generations,Light
390,Documentary,None,None,Not Rated,None,In Our Hands: The Battle For Jerusalem,Medium
391,Thriller,Medium,None,PG-13,Light,The Circle,Light
392,Mystery,Medium,Light,R,Light,Grey Lady,Medium
393,Drama,Heavy,Light,R,Light,Sleight,Heavy
394,Horror,Heavy,Light,R,None,Rupture,Heavy
395,Mystery,Heavy,None,PG-13,Light,Phoenix Forgotten,Light
396,Crime,Heavy,None,R,Medium,Free Fire,Heavy
397,Animated,Light,None,PG,Light,Your Name,Medium
398,Thriller,Medium,Light,R,Medium,Unforgettable (2017),Medium
399,Drama,None,None,G,None,A Gift Horse,None
400,Drama,None,Light,PG,None,Champion (2017),Light
401,Science Fiction,None,None,PG,None,Spark A Space Tail,Medium
402,Historical Drama,Light,Medium,PG-13,Medium,The Promise (2017),Medium
403,Drama,Light,None,Not Rated,Medium,Heal The Living,Medium
404,Science Fiction,Light,None,Not Rated,Light,Salt And Fire,Medium
405,Thriller,Heavy,Light,PG-13,Light,The Fate Of The Furious,Medium
406,Drama,Light,Light,PG-13,None,The Lost City Of Z,Medium
407,Comedy,Heavy,None,R,Light,Colossal,Light
408,Documentary,Light,Medium,Not Rated,Light,Alive And Kicking,None
409,Drama,Medium,Medium,R,Medium,Their Finest,Light
410,Animated,Light,Light,PG,None,The Boss Baby,Light
411,Comedy,Medium,None,PG-13,Light,Going In Style,Light
412,Drama,None,None,None,None,The Pledge,Light
413,Drama,Light,Light,Not Rated,Light,The Ticket,Light
414,Animated,None,None,PG,None,Smurfs:  The Lost Village,Light
415,Drama,Light,None,PG,Light,Tommy’S Honour,Light
416,Comedy,Medium,None,R,None,Norman: The Moderate Rise And Tragic Fall Of A New York Fixer,Light
417,Documentary,None,None,G,None,Born In China,Light
418,Drama,Medium,Medium,R,Medium,Personal Shopper,Medium
419,Drama,Medium,Light,PG-13,Light,Gifted,None
