week,topicnumber,content
97,16,114.0
97,0,672.0
97,13,35.0
98,13,42.0
98,5,88.0
98,16,104.0
98,15,173.0
98,19,93.0
98,7,74.0
98,4,146.0
98,11,80.0
98,0,358.0
98,2,231.0
99,15,179.0
99,5,80.0
99,4,122.0
99,2,213.0
99,11,91.0
99,0,325.0
99,16,99.0
99,19,91.0
99,7,74.0
99,13,42.0
100,4,125.0
100,11,102.0
100,16,115.0
100,5,103.0
100,19,88.0
100,2,234.0
100,0,375.0
100,15,234.0
100,7,122.0
100,13,48.0
101,19,112.0
101,16,118.0
101,2,315.0
101,11,180.0
101,4,154.0
101,15,245.0
101,7,278.0
101,5,127.0
101,0,534.0
101,13,61.0
102,13,44.0
102,7,180.0
102,15,213.0
102,5,172.0
102,11,204.0
102,4,257.0
102,2,273.0
102,19,83.0
102,0,410.0
102,16,116.0
103,19,112.0
103,11,174.0
103,4,171.0
103,15,278.0
103,13,86.0
103,0,431.0
103,5,164.0
103,2,331.0
103,7,194.0
103,16,142.0
104,13,57.0
104,0,301.0
104,5,252.0
104,16,108.0
104,7,140.0
104,19,72.0
104,2,279.0
104,4,98.0
104,11,157.0
104,15,188.0
105,13,72.0
105,19,109.0
105,15,305.0
105,4,124.0
105,7,172.0
105,5,204.0
105,16,141.0
105,0,410.0
105,11,200.0
105,2,304.0
106,19,134.0
106,5,204.0
106,0,514.0
106,4,156.0
106,16,144.0
106,7,250.0
106,2,304.0
106,13,64.0
106,11,159.0
106,15,281.0
107,0,841.0
107,5,249.0
107,4,173.0
107,11,117.0
107,13,65.0
107,2,419.0
107,19,285.0
107,7,228.0
107,16,166.0
107,15,392.0
108,15,389.0
108,2,365.0
108,11,109.0
108,4,121.0
108,16,146.0
108,5,144.0
108,7,198.0
108,19,177.0
108,0,749.0
108,13,47.0
109,0,675.0
109,13,75.0
109,2,354.0
109,15,353.0
109,16,142.0
109,5,112.0
109,19,162.0
109,4,115.0
109,7,165.0
109,11,115.0
110,2,414.0
110,7,160.0
110,5,95.0
110,15,349.0
110,11,154.0
110,19,169.0
110,13,122.0
110,4,148.0
110,16,146.0
110,0,604.0
111,0,580.0
111,19,149.0
111,16,124.0
111,4,169.0
111,13,91.0
111,11,134.0
111,7,167.0
111,2,360.0
111,5,150.0
111,15,324.0
112,7,234.0
112,15,334.0
112,16,151.0
112,4,147.0
112,13,86.0
112,19,149.0
112,11,158.0
112,2,342.0
112,5,89.0
112,0,569.0
113,0,692.0
113,4,201.0
113,15,368.0
113,11,163.0
113,2,380.0
113,7,187.0
113,19,130.0
113,5,196.0
113,13,80.0
113,16,159.0
114,16,141.0
114,5,184.0
114,2,347.0
114,11,141.0
114,13,71.0
114,4,186.0
114,0,389.0
114,7,148.0
114,19,107.0
114,15,261.0
115,4,109.0
115,13,58.0
115,0,285.0
115,15,168.0
115,11,92.0
115,5,92.0
115,2,199.0
115,16,97.0
115,7,144.0
115,19,71.0
116,5,71.0
116,13,29.0
116,2,231.0
116,11,129.0
116,19,72.0
116,16,116.0
116,4,120.0
116,15,188.0
116,7,142.0
116,0,237.0
117,4,242.0
117,15,328.0
117,11,125.0
117,13,117.0
117,0,526.0
117,19,172.0
117,7,200.0
117,16,147.0
117,5,132.0
117,2,309.0
118,11,116.0
118,19,180.0
118,4,247.0
118,7,243.0
118,2,350.0
118,0,671.0
118,16,162.0
118,5,186.0
118,13,204.0
118,15,327.0
119,2,345.0
119,11,134.0
119,15,325.0
119,19,140.0
119,16,143.0
119,4,154.0
119,5,95.0
119,7,167.0
119,13,192.0
119,0,499.0
120,4,181.0
120,16,169.0
120,15,404.0
120,7,176.0
120,0,451.0
120,11,144.0
120,19,153.0
120,2,317.0
120,5,89.0
120,13,157.0
121,4,151.0
121,2,341.0
121,11,152.0
121,19,118.0
121,16,154.0
121,7,189.0
121,13,176.0
121,15,357.0
121,5,124.0
121,0,490.0
122,11,101.0
122,0,393.0
122,16,95.0
122,15,305.0
122,5,106.0
122,2,234.0
122,4,237.0
122,19,111.0
122,7,142.0
122,13,125.0
123,4,201.0
123,0,263.0
123,16,44.0
123,19,88.0
123,2,176.0
123,11,50.0
123,7,64.0
123,15,176.0
123,5,73.0
123,13,54.0
124,15,167.0
124,19,86.0
124,7,93.0
124,16,47.0
124,5,53.0
124,0,336.0
124,11,35.0
124,2,142.0
124,13,58.0
