author,account_category,followers
CORNELLBURCHET,LeftTroll,789
JASSSCOTT,LeftTroll,786
WAYNE_DRAKE_,RightTroll,786
BRIANWARNING,RightTroll,785
JOHNIEBOYCOOKS,LeftTroll,784
WILLISBONNERR,LeftTroll,781
KENZDONOVAN,RightTroll,778
ROBERTEBONYKING,LeftTroll,775
C__WELLS,RightTroll,775
LILJORDAMN,LeftTroll,775
BIGBOYJASIAH,LeftTroll,774
YAELTROUBLE,HashtagGamer,768
ANTONHAYHAY,LeftTroll,763
JAMIE_MCCARTHY_,RightTroll,758
SINCEREPRUITT,LeftTroll,754
IGNITEDFIRESTAR,RightTroll,750
CORYNAENAE,LeftTroll,746
ALBUQUERQUEON,NewsFeed,745
JERSTONER,LeftTroll,739
CYNTHIAMHUNTER,RightTroll,736
EVEWEBSTER373,RightTroll,732
BLMSOLDIER,LeftTroll,732
THETRAINGUY13,RightTroll,728
EDWARDBROBERTS,RightTroll,722
BLMSOLDIER,LeftTroll,719
ILANPRICEUSA,Unknown,713
CLYDEDAWS0N,RightTroll,708
ONEMIGHTYFISH,LeftTroll,707
ROSIEONFLEEK,LeftTroll,701
MARTINIVINE,RightTroll,701
FIGHTM_D_B,LeftTroll,692
ELIZEESTR,RightTroll,680
ALIISTRR,RightTroll,677
BIGBOYSNEED,LeftTroll,674
DINGDONPARKER,RightTroll,667
JOTEFOKIS,RightTroll,656
PORTMELA,RightTroll,646
LORETTAPJ3,HashtagGamer,639
ARMEDFREJYA,RightTroll,639
HASHTAGMEMOM,HashtagGamer,636
J0HNLARSEN,RightTroll,634
LELANDGRAVES_,RightTroll,617
BLACKYCLEVELAND,LeftTroll,615
FUNAT1C,HashtagGamer,614
AMERICANALBERT,RightTroll,608
JAREDNOTLETO,HashtagGamer,607
MANDY9STEVENS,RightTroll,604
AGNESGRHM,HashtagGamer,603
JUANTHOMSSTRUMT,RightTroll,599
XDWILLIE,RightTroll,597
MRJACKSJACKSON,RightTroll,594
MSHEATHOWENS,RightTroll,593
OSCAR_ROWE_,RightTroll,588
HERNAMEISCUTIE,HashtagGamer,587
ASHLEYSIMPSN,HashtagGamer,587
HOLLANDPATRICKK,RightTroll,581
AMBERLINETR,RightTroll,580
EDMUNDRJR,LeftTroll,574
DIAB0LO,HashtagGamer,572
DAVBOYD_,RightTroll,569
KRISTYANANN,HashtagGamer,555
JOHNNYBLACK91,HashtagGamer,555
JSNCAREY,RightTroll,549
SRAHSE,HashtagGamer,549
JORDANSHELTONW,HashtagGamer,549
JESSYBOWWOW,LeftTroll,547
BLACKTIVISTSUS,LeftTroll,546
EURYNMCCOLLEY,HashtagGamer,543
RYMANMURPHY,HashtagGamer,539
LACHLAN_FARLEY,HashtagGamer,539
SCTTCRSN,LeftTroll,536
ANTIEHARMON,HashtagGamer,534
SOPHIEKOLE,HashtagGamer,534
_BILLY_MOYER_,RightTroll,533
ROCKINMAFAME,HashtagGamer,531
ORRCLAY,RightTroll,529
TARAFORMATION,LeftTroll,528
NANAJDAWSON,HashtagGamer,528
LEXXX_TH,HashtagGamer,528
ELLISHARM0N,HashtagGamer,524
ADKEZLATE,HashtagGamer,523
AFUCKINSIDE,HashtagGamer,522
JENNYHUTCH31,HashtagGamer,521
HELEN1HELEN1,HashtagGamer,520
BOBSDYER,HashtagGamer,518
DANBR00KS,HashtagGamer,518
FUNDDIET,Commercial,515
REACHITDOIT,RightTroll,509
ROYPRESTON1ST,HashtagGamer,508
ARONHOLDEN8,HashtagGamer,505
RICHRIC_RICHARD,HashtagGamer,501
CYRUSWORLEY,HashtagGamer,500
ADRIASNSS,RightTroll,499
LGBTUNI,LeftTroll,490
SAYHERNAME16,LeftTroll,485
STAYWOKE88,LeftTroll,484
COLINSNEVERLAND,RightTroll,482
JRRBRTT,RightTroll,478
IANCALH0UN,LeftTroll,466
STAYWOKE88,LeftTroll,465
THEMANMACHINE17,RightTroll,431
GIBBS_JEREMY_,RightTroll,405
HOLDMEJERRY,LeftTroll,403
ADNNELSTR,RightTroll,402
FINDDIET,Commercial,401
ROSCOE_RIDDLE,RightTroll,394
GODH8SBIGOTS,LeftTroll,394
GLENNHARPER_,RightTroll,369
ARIAANST,RightTroll,369
JON_UNDERWOOD_,RightTroll,368
MARKMCGREGORY,RightTroll,359
RALLYCHARLESTON,LeftTroll,358
JENNATRAVELLER,Unknown,351
POL_WARRIOR,RightTroll,338
JUSTICE4JAMAR_,LeftTroll,331
ALWAYSHUNGRYBAE,Unknown,324
DALIKWESHA,LeftTroll,317
KIMBERLEIGHLAMB,HashtagGamer,315
NASIMMALIK993,LeftTroll,314
SAVECOOPER,LeftTroll,314
WEWANTFREEDOMNY,LeftTroll,305
MEGGIEMCKENZIE,HashtagGamer,305
BLACK4UNITY,LeftTroll,305
ALFREDTHREE,RightTroll,303
JUSTICE4TAMIR_,LeftTroll,296
AMYGRABMYESSAY,Commercial,294
ANTONRUMSS,RightTroll,282
