author,account_category,tweets
ANISACRRUTR,RightTroll,578
ACAPARELLA,RightTroll,570
ANGISDOOYL,RightTroll,565
SCTTCRSN,LeftTroll,561
INSTOTUS,RightTroll,559
WILDHAREE,HashtagGamer,557
BRIGHTNOOM,RightTroll,557
EDMUNDRJR,LeftTroll,554
ANDRREETRT,RightTroll,550
ANTONRUMSS,RightTroll,546
COLINSNEVERLAND,RightTroll,543
HOLDMEJERRY,LeftTroll,541
DINGDONPARKER,RightTroll,537
ABMERRLINS,RightTroll,531
OSCAR_ROWE_,RightTroll,529
SADIEEATONN,LeftTroll,515
PROJECTLANDY,Unknown,514
OLIVIADWARREN,LeftTroll,514
RLOVENOSAUSE,RightTroll,504
CAMDENCITYNEWS,NewsFeed,500
AYLEENSCLAR,RightTroll,486
JON_UNDERWOOD_,RightTroll,484
GLOBALFOE,LeftTroll,484
BEREHAYYTR,RightTroll,480
ROSCOE_RIDDLE,RightTroll,480
JESSYBOWWOW,LeftTroll,477
DAVBOYD_,RightTroll,468
PAMELA_SHARKY13,RightTroll,459
SSUS_PANTHER,RightTroll,445
WONDERHANN,RightTroll,433
BRIISTATRRT,RightTroll,430
ARISGRAYS,RightTroll,429
XDWILLIE,RightTroll,423
AMERICANALBERT,RightTroll,417
LGBTUNI,LeftTroll,415
MINNEAPOLISON,NewsFeed,412
THEMANMACHINE17,RightTroll,406
AUSTINLOVESBEER,RightTroll,403
RYMANMURPHY,HashtagGamer,401
HEYITSGLOR,RightTroll,401
CHICAGOBL,LeftTroll,387
JOSEPH_JENKS,RightTroll,384
MRT_EVRT,RightTroll,379
10_GOP,RightTroll,372
AMCONVOICE,RightTroll,370
TARAFORMATION,LeftTroll,364
ALYSSABEDOLLA,HashtagGamer,345
_RUBY_WILLS_,RightTroll,340
AMYGRABMYESSAY,Commercial,339
CHESTERCITYNEWS,NewsFeed,337
GRACELILSTAR,RightTroll,335
KIRSTENLADANIEL,RightTroll,335
MARCH_FOR_TRUMP,RightTroll,331
ADRIASNSS,RightTroll,330
JRRBRTT,RightTroll,324
YOUJUSTCTRLC,LeftTroll,315
BARBARAFORTRUMP,RightTroll,312
FORCEOFLIBERTY,RightTroll,310
