Genre,Language,Nudity,Rating,Sex,Title,Violence,Release_Date,Production_Budget,Domestic_Gross,Worldwide_Gross,Release_Year,Release_Month
Drama,Light,Medium,R,Medium,300: Rise Of An Empire,Heavy,2014-03-07,110000000,106580051,330780051,2014,Mar
Family,None,None,PG,None,Mr. Peabody & Sherman,Light,2014-03-07,145000000,111506430,269806430,2014,Mar
Thriller,Heavy,None,PG-13,Light,Non-Stop,Medium,2014-02-28,50000000,91742160,222383055,2014,Feb
Drama,None,None,PG-13,None,Son Of God,Medium,2014-02-28,22000000,59700064,70949793,2014,Feb
Science Fiction,Light,Light,PG-13,None,Thor: The Dark World,Medium,2013-11-08,150000000,206362140,644602516,2013,Nov
Action,Light,Light,PG-13,Light,Pompeii,Heavy,2014-02-21,80000000,23169033,108469033,2014,Feb
Drama,Medium,None,PG-13,Medium,Endless Love,Light,2014-02-14,20000000,23438250,34718173,2014,Feb
Comedy,Heavy,Medium,R,Heavy,About Last Night,Light,2014-02-14,13000000,48637684,50445860,2014,Feb
Comedy,None,Light,PG,None,The Lego Movie,Light,2014-02-07,60000000,257784718,457729388,2014,Feb
Comedy,Heavy,Heavy,R,Medium,That Awkward Moment,Light,2014-01-31,8000000,26068955,53068955,2014,Jan
Drama,None,None,PG-13,Light,Labor Day,Light,2014-01-31,18000000,13371528,14189810,2014,Jan
Comedy,None,None,PG,None,Cloudy With A Chance Of Meatballs 2,Light,2013-09-27,78000000,119793567,274392649,2013,Sep
Thriller,Light,Light,PG-13,None,"I, Frankenstein",Medium,2014-01-24,65000000,19075290,74575290,2014,Jan
Thriller,Heavy,None,PG-13,Light,Jack Ryan: Shadow Recruit,Medium,2014-01-17,60000000,50577412,131377412,2014,Jan
Comedy,Heavy,Light,PG-13,Light,Ride Along,Medium,2014-01-17,25000000,134202565,153733800,2014,Jan
Comedy,None,None,PG,None,The Nut Job,Light,2014-01-17,30000000,64251538,122529966,2014,Jan
Action,Light,Light,PG-13,Light,The Legend Of Hercules,Medium,2014-01-10,70000000,18848538,58953319,2014,Jan
Drama,Heavy,None,R,None,Lone Survivor,Heavy,2013-12-25,40000000,125095601,149804632,2013,Dec
Horror,Heavy,Heavy,R,Medium,The Lords Of Salem,Heavy,2013-04-19,1500000,1165881,1541131,2013,Apr
Comedy,Heavy,Heavy,R,Heavy,Movie 43,Heavy,2013-01-25,10000000,8840453,31164747,2013,Jan
Documentary,Medium,None,R,Light,Metallica Through The Never,Medium,2013-09-27,18000000,3419967,9082906,2013,Sep
Horror,Heavy,Heavy,R,Medium,Paranormal Activity: The Marked Ones,Heavy,2014-01-03,5000000,32462372,87251115,2014,Jan
Comedy,Heavy,Light,PG-13,Medium,Grudge Match,Medium,2013-12-25,40000000,29807260,69807260,2013,Dec
Comedy,Heavy,Heavy,R,Heavy,The Wolf Of Wall Street,Medium,2013-12-25,100000000,116900694,389870414,2013,Dec
Action,None,None,PG-13,None,47 Ronin,Medium,2013-12-25,175000000,38362475,151716815,2013,Dec
Drama,Heavy,Medium,R,Light,Her,None,2014-01-10,23000000,25568251,48422461,2014,Jan
Family,Light,None,PG,None,Walking With Dinosaurs,Medium,2013-12-20,80000000,36076121,123386322,2013,Dec
Comedy,Medium,None,PG,None,The Secret Life Of Walter Mitty,Light,2013-12-25,91000000,58236838,188275200,2013,Dec
Comedy,Medium,None,PG-13,Medium,Anchorman 2: The Legend Continues,Medium,2013-12-18,50000000,127352707,172185754,2013,Dec
Drama,Heavy,Medium,R,Light,American Hustle,Light,2013-12-13,40000000,150117807,257878294,2013,Dec
Action,None,Light,PG-13,Light,The Hobbit: The Desolation Of Smaug,Medium,2013-12-13,250000000,258366855,960366855,2013,Dec
Drama,Light,None,PG-13,Light,Saving Mr. Banks,None,2013-12-13,35000000,83299761,114962525,2013,Dec
Thriller,Heavy,None,R,None,The Last Days On Mars,Heavy,2013-12-06,10600000,24084,261364,2013,Dec
Comedy,None,Light,PG,None,Despicable Me 2,Medium,2013-07-03,76000000,368065385,975216835,2013,Jul
Drama,Heavy,Light,R,Light,Filly Brown,Medium,2013-04-19,1250000,2850357,2940411,2013,Apr
Drama,Medium,None,PG-13,Light,Philomena,None,2013-11-22,12000000,37709979,98963392,2013,Nov
Drama,Medium,Heavy,PG-13,Medium,Mandela: Long Walk To Freedom,Heavy,2013-11-29,35000000,8323085,29890402,2013,Nov
Thriller,Heavy,Light,R,Light,Out Of The Furnace,Heavy,2013-12-04,22000000,11330849,15434375,2013,Dec
Family,None,Light,PG,None,The Smurfs 2,Light,2013-07-31,110000000,71017784,348547523,2013,Jul
Drama,Heavy,Light,R,Light,Inside Llewyn Davis,Light,2013-12-06,11000000,13248209,32943247,2013,Dec
Thriller,Heavy,None,R,Medium,Homefront,Heavy,2013-11-27,22000000,20158492,51695362,2013,Nov
Drama,Light,None,PG,None,Black Nativity,Light,2013-11-27,17500000,7018188,7285135,2013,Nov
Drama,Medium,None,R,None,Nebraska,Light,2013-11-15,12000000,17654912,24761360,2013,Nov
Science Fiction,Light,Light,PG-13,Light,The Hunger Games: Catching Fire,Medium,2013-11-22,130000000,424668047,864868047,2013,Nov
Drama,None,None,PG,None,The Christmas Candle,Light,2013-11-15,7000000,1632000,1933829,2013,Nov
Comedy,Heavy,Medium,R,Light,The Best Man Holiday,Light,2013-11-15,17000000,70525195,72835710,2013,Nov
Drama,Heavy,None,R,Light,About Time,Light,2013-11-01,12000000,15323921,89309178,2013,Nov
Drama,None,None,PG-13,None,The Book Thief,Medium,2013-11-08,19000000,21488481,76086711,2013,Nov
Drama,Heavy,Medium,R,Heavy,Dallas Buyers Club,Light,2013-11-01,5000000,27298285,60611845,2013,Nov
Comedy,Heavy,Light,PG-13,Medium,Last Vegas,Light,2013-01-28,28000000,63914167,112914167,2013,Jan
Comedy,None,None,PG,None,Free Birds,Light,2013-11-01,55000000,55750480,110387072,2013,Nov
Mystery,Medium,Light,PG-13,Medium,Minority Report,Heavy,2002-06-21,102000000,132024714,358824714,2002,Jun
Documentary,Medium,Light,R,Light,Fahrenheit 9/11,Heavy,2004-06-23,6000000,119114517,221148959,2004,Jun
Comedy,Heavy,Heavy,R,Heavy,Jackass Presents: Bad Grandpa,Medium,2013-10-25,15000000,102003019,160903019,2013,Oct
Thriller,Heavy,Medium,R,Medium,The Counselor,Heavy,2013-10-25,25000000,16973715,71009334,2013,Oct
Drama,Light,None,PG-13,None,All Is Lost,Light,2013-10-18,8500000,6263670,10386814,2013,Oct
Drama,Medium,Heavy,R,Medium,12 Years A Slave,Heavy,2013-10-18,20000000,56671993,181025343,2013,Oct
Thriller,Heavy,Light,R,Light,Escape Plan,Medium,2013-10-18,70000000,25135965,103735965,2013,Oct
Drama,Heavy,Light,R,Light,The Fifth Estate,Light,2013-10-18,26000000,3254172,6154172,2013,Oct
Thriller,Heavy,None,R,Medium,Machete Kills,Heavy,2013-10-11,20000000,8008161,18273009,2013,Oct
Drama,Medium,Light,PG-13,None,Captain Phillips,Medium,2013-10-11,55000000,107136417,220648184,2013,Oct
Drama,Light,None,PG-13,Light,Home Run,Light,2013-04-19,1200000,2859955,2859955,2013,Apr
Drama,Medium,Light,PG-13,None,Parkland,Medium,2013-10-04,10000000,641439,1616353,2013,Oct
Science Fiction,Medium,None,PG-13,None,Gravity,Medium,2013-10-04,110000000,274092705,695941797,2013,Oct
Drama,Heavy,Light,R,Medium,Runner Runner,Medium,2013-10-04,30000000,19316646,60512680,2013,Oct
Drama,None,None,PG,None,Grace Unplugged,None,2013-10-04,1700000,2507159,2507159,2013,Oct
Comedy,Medium,Light,PG-13,Light,Baggage Claim,Light,2013-09-27,8500000,21569509,22885836,2013,Sep
Comedy,Heavy,Medium,R,Heavy,Don Jon,None,2013-09-27,5500000,24477704,41268579,2013,Sep
Documentary,None,Light,Unknown,None,Unstoppable,Light,2010-11-12,95000000,81562942,165720921,2010,Nov
Thriller,Heavy,Light,PG-13,None,Unstoppable,Medium,2010-11-12,95000000,81562942,165720921,2010,Nov
Drama,Heavy,None,PG-13,None,Battle Of The Year,Light,2013-09-20,20000000,8888355,16723377,2013,Sep
Comedy,Heavy,Light,PG-13,Medium,Enough Said,None,2013-09-18,8000000,17550872,25621449,2013,Sep
Thriller,Heavy,None,R,None,Prisoners,Heavy,2013-09-20,46000000,61002302,113402302,2013,Sep
Drama,Heavy,Medium,R,Medium,Rush,Heavy,2013-09-20,38000000,26947624,98230839,2013,Sep
Thriller,Heavy,None,R,Medium,The Family,Heavy,2013-09-13,30000000,36918811,51078541,2013,Sep
Horror,Medium,None,PG-13,Light,Insidious Chapter 2,Medium,2013-09-13,5000000,83586447,161921515,2013,Sep
Drama,Heavy,Light,PG-13,None,World Trade Center,Medium,2006-08-09,65000000,70278893,163295654,2006,Aug
Drama,Light,Light,R,None,Winnie Mandela,Heavy,2013-09-06,15000000,61847,61847,2013,Sep
Science Fiction,Heavy,Medium,R,Medium,Riddick,Heavy,2013-09-06,38000000,42025135,94763758,2013,Sep
Thriller,Heavy,None,PG-13,None,Getaway,Medium,2013-08-30,18000000,10501938,11813989,2013,Aug
Documentary,Light,Light,Unknown,None,One Direction: This Is Us,None,2013-08-30,10000000,28873374,68541786,2013,Aug
Thriller,Heavy,Medium,R,Medium,The Frozen Ground,Medium,2013-08-23,19200000,0,5617460,2013,Aug
Action,Light,Light,PG-13,None,The Mortal Instruments: City Of Bones,Heavy,2013-08-21,60000000,31165421,75965567,2013,Aug
Action,None,None,PG,None,Epic,Medium,2013-05-24,100000000,107518682,262794441,2013,May
Drama,Heavy,Light,PG-13,Light,Jobs,None,2013-08-16,18000000,16131410,43402515,2013,Aug
Thriller,Medium,Light,PG-13,Light,Paranoia,Light,2013-08-16,40000000,7388654,16340767,2013,Aug
Action,Heavy,Medium,R,Light,Kick-Ass 2,Heavy,2013-08-16,28000000,28795985,63129909,2013,Aug
Science Fiction,Heavy,Light,R,None,Elysium,Heavy,2013-08-09,120000000,93050117,286192091,2013,Aug
Drama,Heavy,Medium,R,Medium,The Spectacular Now,Light,2013-08-02,2500000,6852971,6916951,2013,Aug
Action,Heavy,Medium,R,Light,2 Guns,Medium,2013-08-02,61000000,75612460,132493015,2013,Aug
Drama,Heavy,None,PG-13,Light,Blue Jasmine,Light,2013-07-26,18000000,33404871,102912961,2013,Jul
Comedy,Heavy,Light,R,Heavy,The To Do List,Light,2013-07-26,1500000,3491669,4128828,2013,Jul
Science Fiction,Medium,Light,PG-13,Light,The Wolverine,Heavy,2013-07-26,115000000,132556852,416456852,2013,Jul
Science Fiction,Heavy,Light,PG-13,Light,R.I.P.D.,Medium,2013-07-19,130000000,33618855,79076678,2013,Jul
Horror,Light,None,R,None,The Conjuring,Medium,2013-07-19,20000000,137400141,318000141,2013,Jul
Action,Heavy,Light,PG-13,Light,Red 2,Medium,2013-07-19,84000000,53262560,141507355,2013,Jul
Comedy,None,None,PG,None,Turbo,Light,2013-07-17,135000000,83028130,286896578,2013,Jul
Drama,Medium,Light,PG-13,Light,42,Light,2013-04-12,40000000,95020213,97470701,2013,Apr
Comedy,Heavy,Light,PG-13,Medium,Grown Ups 2,Medium,2013-07-12,80000000,133668525,247023808,2013,Jul
Drama,Heavy,Light,R,Light,Fruitvale Station,Medium,2013-07-12,900000,16098998,17549645,2013,Jul
Documentary,Light,None,PG-13,None,20 Feet From Stardom,None,2013-06-14,1000000,4946250,5892466,2013,Jun
Science Fiction,Heavy,Light,PG-13,None,Pacific Rim,Medium,2013-07-12,190000000,101802906,411002906,2013,Jul
Documentary,None,Light,PG-13,None,The Gatekeepers,Medium,2013-02-01,1500000,2408553,2592308,2013,Feb
Western,Medium,Light,PG-13,None,The Lone Ranger,Medium,2013-07-02,275000000,89302115,260002115,2013,Jul
Action,Heavy,Light,PG-13,Medium,White House Down,Heavy,2013-06-28,150000000,73103784,205440387,2013,Jun
Comedy,Heavy,None,R,Light,The Heat,Heavy,2013-06-28,43000000,159581587,229727774,2013,Jun
Thriller,Medium,None,R,Light,Phantom,Medium,2013-03-01,18000000,1034589,1199510,2013,Mar
Comedy,None,None,G,None,Monsters University,Light,2013-06-21,200000000,268488329,743588329,2013,Jun
Horror,Medium,None,PG-13,None,World War Z,Heavy,2013-06-21,190000000,202359711,531514650,2013,Jun
Unknown,Light,None,PG-13,None,Jack The Giant Slayer,Medium,2013-03-01,195000000,65187603,197687603,2013,Mar
Action,Light,None,PG-13,Light,Indiana Jones And The Last Crusade,Medium,1989-05-24,48000000,197171806,474171806,1989,May
Comedy,Heavy,Heavy,R,Heavy,This Is The End,Heavy,2013-06-12,32000000,101470202,126539117,2013,Jun
Science Fiction,Medium,Light,PG-13,None,Man Of Steel,Medium,2013-06-14,225000000,291045518,667999518,2013,Jun
Science Fiction,Light,None,PG,None,Oz The Great And Powerful,Light,2013-03-08,200000000,234770996,490359051,2013,Mar
Unknown,Heavy,Light,PG-13,Medium,The Internship,Light,2013-06-07,58000000,44672764,93672764,2013,Jun
Thriller,Medium,None,R,Light,The Purge,Heavy,2013-06-07,3000000,64473115,91266581,2013,Jun
Comedy,Light,None,PG,None,Escape From Planet Earth,Light,2013-02-15,40000000,57012977,74156610,2013,Feb
Comedy,Heavy,None,R,Medium,Frances Ha,Light,2013-05-17,3000000,4067398,11262769,2013,May
Thriller,Medium,Light,PG-13,Light,The East,Medium,2013-05-31,6500000,2274649,3027956,2013,May
Science Fiction,Light,None,PG-13,None,After Earth,Medium,2013-05-31,130000000,60522097,251499665,2013,May
Thriller,Heavy,None,PG-13,Light,Now You See Me,Medium,2013-05-31,75000000,117723989,342769200,2013,May
Drama,Heavy,Medium,R,Medium,Before Midnight,Light,2013-05-24,3000000,8110621,23251930,2013,May
Comedy,Heavy,Heavy,R,Medium,The Hangover 3,Medium,2013-05-23,103000000,112200072,362000072,2013,May
Action,Heavy,Light,PG-13,Light,Fast And Furious 6,Medium,2013-05-24,160000000,238679850,789300444,2013,May
Comedy,Heavy,Light,PG-13,Medium,Peeples,Light,2013-05-10,15000000,9177065,9307166,2013,May
Science Fiction,Heavy,None,PG-13,Light,Star Trek Into Darkness,Medium,2013-05-16,190000000,228778661,467381584,2013,May
Drama,None,Light,Unknown,Light,The Best Years Of Our Lives,Light,1946-11-21,2100000,23600000,23600000,1946,Nov
Thriller,Heavy,Medium,R,Medium,The Iceman,Heavy,2013-05-03,10000000,1930282,3623609,2013,May
Science Fiction,Heavy,Light,PG-13,Light,Iron Man 3,Medium,2013-05-03,200000000,408992272,1215392272,2013,May
Thriller,Heavy,Heavy,R,Heavy,Trance,Heavy,2013-04-05,16000000,2322593,22594052,2013,Apr
Thriller,Heavy,Heavy,R,Heavy,Trance,Heavy,2010-12-31,950000,0,0,2010,Dec
Comedy,Heavy,Medium,R,Medium,The Big Wedding,Light,2013-04-26,32500000,21819348,48425971,2013,Apr
Drama,Heavy,Light,PG-13,Light,Mud,Medium,2013-04-26,10000000,21590086,31556959,2013,Apr
Science Fiction,Medium,Medium,PG-13,Light,Oblivion,Medium,2013-04-19,120000000,89107235,287916633,2013,Apr
Drama,Heavy,Light,R,Light,The Place Beyond The Pines,Medium,2013-03-29,15000000,21403519,47011449,2013,Mar
Religious,None,None,Unknown,None,Ben-Hur,Medium,2016-08-19,95000000,26410477,91853336,2016,Aug
Religious,None,None,Unknown,None,Ben-Hur,Medium,1959-11-18,15000000,73000000,73000000,1959,Nov
Drama,None,None,Unknown,Light,To Kill A Mockingbird,Light,1962-12-25,2000000,13129846,13129846,1962,Dec
Action,Light,None,PG-13,None,G.I. Joe: Retaliation,Medium,2013-03-27,140000000,122523060,375740705,2013,Mar
Drama,Heavy,Heavy,R,Heavy,Spring Breakers,Heavy,2013-03-15,5000000,14124286,31149251,2013,Mar
Comedy,Light,None,PG,None,Parental Guidance,Light,2012-12-25,25000000,77267296,120832383,2012,Dec
Comedy,Heavy,Light,PG-13,Light,Admission,Light,2013-03-22,13000000,18007317,18733666,2013,Mar
Action,Heavy,None,R,None,Olympus Has Fallen,Heavy,2013-03-22,70000000,98927592,150562164,2013,Mar
Comedy,None,Light,PG,None,The Croods,Light,2013-03-22,135000000,187168425,573068425,2013,Mar
Science Fiction,Medium,None,PG-13,Light,Upside Down,Medium,2013-03-15,50000000,102118,26387039,2013,Mar
Science Fiction,None,None,PG,None,Rise Of The Guardians,Light,2012-11-21,145000000,103412758,306900902,2012,Nov
Thriller,Heavy,Light,R,Light,Dead Man Down,Heavy,2013-03-08,30000000,10895295,19599974,2013,Mar
Thriller,Heavy,Medium,R,Medium,The Sweeney,Medium,2013-03-01,4500000,26345,8000366,2013,Mar
Comedy,None,None,PG,None,Wreck-It Ralph,Light,2012-11-02,165000000,189412677,496511521,2012,Nov
Unknown,Heavy,Medium,Unknown,Medium,21 And Over,Medium,2013-03-01,13000000,25682380,42195766,2013,Mar
Thriller,Light,Medium,R,Medium,Stoker,Heavy,2013-03-01,12000000,1703125,12034913,2013,Mar
Horror,Medium,Light,PG-13,Light,Dark Skies,Medium,2013-02-22,3500000,17418667,27704111,2013,Feb
Thriller,Medium,Light,PG-13,None,Snitch,Medium,2013-02-22,15000000,42930462,57907734,2013,Feb
Thriller,Medium,Light,PG-13,None,Snitch,Medium,2012-12-31,850000,0,0,2012,Dec
Drama,Medium,Light,PG-13,Medium,Safe Haven,Medium,2013-02-14,28000000,71399120,94050951,2013,Feb
Action,Heavy,Light,R,None,A Good Day To Die Hard,Heavy,2013-02-14,92000000,67349198,304249198,2013,Feb
Thriller,Heavy,Medium,R,Medium,Side Effects,Medium,2013-02-08,30000000,32172757,66742138,2013,Feb
Thriller,Heavy,Medium,R,Medium,Side Effects,Medium,2005-09-09,200000,44701,44701,2005,Sep
Comedy,Heavy,Light,R,Medium,Identity Thief,Medium,2013-02-08,35000000,134506920,175361578,2013,Feb
Thriller,Heavy,Medium,R,Light,Parker,Heavy,2013-01-25,35000000,17616641,48543388,2013,Jan
Action,Heavy,Medium,R,Light,Bullet To The Head,Heavy,2013-02-01,55000000,9489829,22597969,2013,Feb
Science Fiction,Medium,Light,PG-13,None,Warm Bodies,Medium,2013-02-01,30000000,66380662,115121608,2013,Feb
Comedy,Heavy,Medium,R,Heavy,A Haunted House,Medium,2013-01-11,2500000,40041683,59922558,2013,Jan
Horror,Light,None,PG-13,Light,Mama,Medium,2013-01-18,15000000,71628180,148095566,2013,Jan
Action,Heavy,None,R,None,The Last Stand,Heavy,2013-01-18,30000000,12050299,48330757,2013,Jan
Drama,Heavy,Light,R,Medium,Broken City,Medium,2013-01-18,35000000,19701164,34480045,2013,Jan
Comedy,Medium,None,PG-13,Light,Quartet,Light,2013-01-11,11000000,18388357,56178935,2013,Jan
Drama,Heavy,None,R,None,Promised Land,None,2013-01-04,15000000,7597898,12394562,2013,Jan
Horror,Heavy,Medium,R,Medium,Texas Chainsaw 3D,Heavy,2013-01-04,20000000,34341945,47666013,2013,Jan
Western,Heavy,Heavy,R,Light,Django Unchained,Heavy,2012-12-25,100000000,162805434,449948323,2012,Dec
Drama,Light,Medium,PG-13,None,The Impossible,Medium,2012-12-21,40000000,19019882,169590606,2012,Dec
Drama,Heavy,Medium,R,Heavy,On The Road,Light,2013-03-22,25000000,720828,9313302,2013,Mar
Comedy,Heavy,Medium,R,Medium,This Is 40,Light,2012-12-21,35000000,67544505,90221182,2012,Dec
Thriller,Heavy,Light,R,Light,Gangster Squad,Heavy,2013-01-11,60000000,46000903,104100903,2013,Jan
Thriller,Heavy,Light,PG-13,Light,Jack Reacher,Medium,2012-12-21,60000000,80070736,217370736,2012,Dec
Drama,Light,Medium,PG-13,None,Amour,Medium,2012-12-19,9700000,6738954,36787044,2012,Dec
Drama,Medium,Medium,PG-13,Medium,The First Time,Light,2012-10-19,2000000,17061,17061,2012,Oct
Documentary,None,Medium,PG-13,Medium,Samsara,Heavy,2012-08-24,4000000,2672413,5966671,2012,Aug
Action,Medium,Light,PG-13,Light,The Dark Knight Rises,Medium,2012-07-20,275000000,448139099,1084439099,2012,Jul
Thriller,Heavy,Medium,R,Medium,Deadfall,Heavy,2012-12-07,6000000,66351,1673635,2012,Dec
Comedy,Medium,Light,PG-13,Medium,Playing For Keeps,Light,1986-10-03,35000000,2000000,2000000,1986,Oct
Drama,Heavy,Light,R,Medium,Killing Them Softly,Heavy,2012-11-30,15000000,14945541,39238443,2012,Nov
Drama,Heavy,Medium,R,Medium,Silver Linings Playbook,Medium,2012-11-16,21000000,132092958,236412453,2012,Nov
Drama,Light,Medium,R,Medium,Anna Karenina,Medium,2012-11-16,49000000,12816367,71004627,2012,Nov
Horror,Medium,Medium,R,None,Silent Hill: Revelation 3D,None,2012-10-26,20000000,17530219,55975672,2012,Oct
Drama,Heavy,Light,R,None,Zero Dark Thirty,Heavy,2012-12-19,52500000,95720716,134612435,2012,Dec
Drama,Heavy,None,PG-13,Light,Lincoln,Medium,2012-11-09,65000000,182207973,273346281,2012,Nov
Action,Medium,Medium,R,Heavy,The Man With The Iron Fists,Heavy,2012-11-02,15000000,15634090,22018988,2012,Nov
Comedy,Heavy,None,PG-13,Light,The Guilt Trip,Light,2012-12-19,40000000,37134215,41294674,2012,Dec
Musical,Light,None,PG-13,Light,Les Miserables,Medium,2012-12-25,65000000,148809770,442169052,2012,Dec
Drama,Medium,None,R,Medium,Les Miserables,Heavy,2012-12-25,65000000,148809770,442169052,2012,Dec
Drama,Heavy,Heavy,R,Medium,Flight,Medium,2012-11-02,31000000,93772375,160558438,2012,Nov
Drama,Light,Light,PG-13,None,Life Of Pi,Medium,2012-11-21,120000000,124987022,607258634,2012,Nov
Fantasy,None,Light,PG-13,None,The Hobbit: An Unexpected Journey,Medium,2012-12-14,250000000,303003568,1017003568,2012,Dec
Action,Medium,Light,PG-13,Light,Skyfall,Medium,2012-11-08,200000000,304360277,1110526981,2012,Nov
Comedy,Heavy,Heavy,R,Heavy,The Sessions,None,2012-10-19,1000000,6002451,11495204,2012,Oct
Thriller,Medium,Medium,PG-13,Medium,Alex Cross,Medium,2012-10-19,35000000,25888412,35426759,2012,Oct
Thriller,Heavy,Medium,R,Medium,Seven Psychopaths,Heavy,2012-10-12,13500000,15024049,33035736,2012,Oct
Horror,Medium,Light,R,None,Sinister,Heavy,2012-10-12,3000000,48086903,87727807,2012,Oct
Drama,Medium,Light,Unknown,Medium,Wuthering Heights,Medium,2012-10-05,8000000,100915,2721534,2012,Oct
Thriller,Medium,Light,PG-13,Light,House At The End Of The Street,Medium,2012-09-21,6900000,31611916,44103982,2012,Sep
Drama,Heavy,Medium,R,Medium,End Of Watch,Heavy,2012-09-21,15000000,41003371,57586606,2012,Sep
Drama,Heavy,Heavy,R,Medium,The Master,Medium,2012-09-14,37500000,16247159,58792011,2012,Sep
Drama,Heavy,None,R,Light,Arbitrage,Medium,2012-09-14,12000000,7919574,35830713,2012,Sep
Drama,Heavy,Medium,R,Heavy,Compliance,Light,2012-08-17,270000,319285,830700,2012,Aug
Comedy,Heavy,None,R,Heavy,Bachelorette,Light,2012-09-07,3000000,446770,12577401,2012,Sep
Drama,Medium,Light,PG-13,Light,The Words,Light,2012-09-07,6000000,11494838,16369708,2012,Sep
Drama,Light,None,PG-13,Light,Trade Of Innocents,Medium,2012-10-05,5800000,15091,15091,2012,Oct
Family,None,None,G,None,The Oogieloves In The Big Balloon Adventure,None,2012-08-29,20000000,1065907,1065907,2012,Aug
Drama,Heavy,None,PG-13,None,Robot & Frank,None,2012-08-17,2500000,3317468,4934356,2012,Aug
Science Fiction,Heavy,Medium,R,Medium,Cloud Atlas,Heavy,2012-10-26,102000000,27108272,130673154,2012,Oct
Drama,None,Light,PG,None,Chasing Mavericks,None,2012-10-26,20000000,6002756,8300821,2012,Oct
Comedy,Heavy,Light,R,Heavy,"For A Good Time, Call",Light,2012-08-31,850000,1251749,1386088,2012,Aug
Drama,Heavy,Medium,R,Medium,Lawless,Heavy,2012-08-29,26000000,37397291,54393637,2012,Aug
Horror,Heavy,None,R,Light,Paranormal Activity 4,Medium,2012-10-19,5000000,53900335,140619520,2012,Oct
Musical,Heavy,Light,PG-13,Light,Pitch Perfect,Light,2012-09-28,17000000,65001093,116044347,2012,Sep
Drama,Heavy,Light,PG-13,Light,Trouble With The Curve,Light,2012-09-21,60000000,35763137,47818913,2012,Sep
Comedy,Light,Light,PG,None,Here Comes The Boom,Medium,2012-10-12,42000000,45290318,73239258,2012,Oct
Comedy,Medium,Light,PG-13,Medium,Fun Size,Light,2012-10-26,14000000,9409538,11166615,2012,Oct
Thriller,Medium,Light,PG-13,Light,Taken 2,Medium,2012-10-05,45000000,139854287,377807404,2012,Oct
Science Fiction,None,None,PG,None,Frankenweenie,Light,2012-10-05,39000000,35287788,81150788,2012,Oct
Science Fiction,Heavy,Medium,R,Light,Looper,Heavy,2012-09-28,30000000,66486205,170466405,2012,Sep
Science Fiction,Heavy,None,R,Light,Dredd,Heavy,2012-09-21,45000000,13414714,41467606,2012,Sep
Comedy,None,None,PG,Light,Hotel Transylvania,Light,2012-09-28,85000000,148313048,378505812,2012,Sep
Thriller,Medium,Medium,R,None,Resident Evil: Retribution,Heavy,2012-09-14,65000000,42345531,238940997,2012,Sep
Drama,Heavy,Light,R,None,Argo,Light,2012-10-12,44500000,136025503,227140757,2012,Oct
Horror,Medium,None,PG-13,None,The Possession,Medium,2012-08-31,14000000,49130588,82925064,2012,Aug
Thriller,Medium,None,PG-13,Light,Premium Rush,Medium,2012-08-24,35000000,20275446,31393201,2012,Aug
Action,Heavy,Light,R,None,The Expendables 2,Heavy,2012-08-17,100000000,85028192,311979256,2012,Aug
Musical,Medium,None,PG-13,Light,Sparkle,Medium,2012-08-17,10000000,24397469,24660323,2012,Aug
Comedy,Light,Light,PG,None,Diary Of A Wimpy Kid: Dog Days,Light,2012-08-03,22000000,49008662,77229695,2012,Aug
Horror,Medium,Light,PG-13,Light,The Apparition,Medium,2012-08-24,17000000,4936819,10637281,2012,Aug
Drama,Heavy,Light,PG-13,Light,Bernie,Light,2012-04-27,6000000,9204489,10106975,2012,Apr
Science Fiction,Heavy,Light,PG-13,Light,Lockout,Heavy,2012-04-13,20000000,14326865,33943049,2012,Apr
Science Fiction,Heavy,Light,R,Light,Prometheus,Heavy,2012-06-08,125000000,126477084,402448265,2012,Jun
Musical,Heavy,Medium,PG-13,Medium,Rock Of Ages,Light,2012-06-15,70000000,38518613,61031932,2012,Jun
Comedy,Heavy,Heavy,R,Medium,The Five-Year Engagement,Light,2012-04-27,30000000,28700285,61623819,2012,Apr
Drama,Medium,Light,PG-13,Medium,The Lucky One,Medium,2012-04-20,25000000,60457138,96633833,2012,Apr
Drama,Heavy,None,R,Light,Albino Alligator,Heavy,1997-01-17,5000000,353480,353480,1997,Jan
Horror,Heavy,Light,R,None,The Relic,Heavy,1997-01-10,60000000,33956608,33956608,1997,Jan
Action,Heavy,None,R,Light,Turbulence,Heavy,1997-01-10,55000000,11532774,11532774,1997,Jan
Horror,Heavy,Light,R,Medium,Scream,Heavy,1996-12-20,15000000,103046663,173046663,1996,Dec
Musical,Medium,Light,PG,Light,Everyone Says I Love You,None,1996-12-06,20000000,9725847,34600000,1996,Dec
Musical,Light,None,PG-13,Light,Evita,Medium,1996-12-25,55000000,50047179,151947179,1996,Dec
Comedy,Light,Light,PG,None,Flubber,Light,1997-11-26,80000000,92993801,177993801,1997,Nov
Musical,None,None,Unknown,None,The Sound Of Music,None,1965-03-02,8200000,163214286,286214286,1965,Mar
Drama,Medium,None,PG-13,None,Fair Game,Light,1995-11-03,50000000,11497497,26097497,1995,Nov
Unknown,Light,None,G,None,Toy Story,Light,1995-11-22,30000000,191796233,364545516,1995,Nov
Documentary,None,None,G,None,Earth,Light,2009-04-22,47000000,32011576,116773317,2009,Apr
