,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
800,3/9/1984,The Hotel New Hampshire,7500000,5142858,5142858
801,3/8/2002,Men with Brooms,7500000,4239767,4239767
802,2/22/2008,Witless Protection,7500000,4151836,4151836
803,11/24/2004,The Work and the Glory,7500000,3347647,3347647
804,12/21/2011,Albert Nobbs,7500000,3014696,8539003
805,6/24/2016,The Neon Demon,7500000,1333124,3559803
806,7/24/2003,Masked and Anonymous,7500000,533344,555335
807,4/13/2018,Borg vs McEnroe,7500000,231346,3245481
808,9/13/2002,Betty Fisher et autres histoires,7500000,206400,206400
809,8/6/2004,Code 46,7500000,197148,1788324
810,12/31/2001,The Hole,7500000,0,10834406
811,1/9/2015,Black November,7500000,0,32572
812,2/24/2015,Outside Bet,7500000,0,13524
813,5/15/2015,Pound of Flesh,7500000,0,0
814,1/13/2017,The Bye Bye Man,7400000,22395806,27162182
815,4/27/2007,Ta Ra Rum Pum,7400000,872643,9443864
816,5/6/2005,Crash,7303082,55334418,101173038
817,12/25/2007,Persepolis,7300000,4443403,25397460
818,4/30/2010,Harry Brown,7300000,1818681,12023606
819,5/27/2011,Die Welle,7250000,0,35122948
820,12/17/1971,Diamonds Are Forever,7200000,43800000,116000000
821,10/15/1999,The Omega Code,7200000,12610552,12678312
822,9/16/2011,3,7200000,59774,295492
823,12/5/2007,Juno,7000000,143495265,231450102
824,3/15/1972,The Godfather,7000000,134966411,268500000
825,6/29/2012,Magic Mike,7000000,113721571,170549753
826,4/15/1983,Flashdance,7000000,90463574,201463574
827,3/16/2018,I Can Only Imagine,7000000,83482352,85406476
828,11/12/1993,The Piano,7000000,40157856,40168957
829,5/6/2011,Jumping the Broom,7000000,37295394,38158601
830,6/27/1973,Live and Let Die,7000000,35400000,161800000
831,1/12/2000,My Dog Skip,7000000,34099640,35795319
832,1/24/2003,Darkness Falls,7000000,32539681,47289758
833,2/14/2008,"Definitely, Maybe",7000000,32241649,55617866
834,10/7/2005,"Good Night, and Good Luck",7000000,31501218,56586901
835,9/30/2005,Capote,7000000,28750530,49924079
836,3/29/1974,The Great Gatsby,7000000,26533200,26533200
837,8/4/2006,The Descent,7000000,26024456,57051053
838,8/25/1995,Desperado,7000000,25532388,25532388
839,1/1/1976,Logan's Run,7000000,25000000,25000000
840,3/8/1996,Fargo,7000000,24567751,51204567
841,4/11/2001,Kingdom Come,7000000,23247539,23393939
842,12/20/1974,The Man with the Golden Gun,7000000,21000000,97600000
843,2/12/1988,Action Jackson,7000000,20257000,20257000
844,5/13/1983,Breathless,7000000,19910002,19910002
845,5/5/2000,Michael Jordan to the MAX,7000000,18642318,18642318
846,6/19/2015,Dope,7000000,17506470,18190831
847,7/22/2005,The Devil's Rejects,7000000,17044981,20940428
848,1/17/2014,Devil's Due,7000000,15821461,36146087
849,3/22/1996,Flirting with Disaster,7000000,14853474,16149180
850,11/14/2014,Beyond the Lights,7000000,14618727,14618727
851,7/31/1992,Buffy the Vampire Slayer,7000000,14231669,14231669
852,8/25/1999,In Too Deep,7000000,14026509,15471229
853,4/11/2003,"House of 1,000 Corpses",7000000,12634962,17005466
854,10/11/1985,Silver Bullet,7000000,10803211,10803211
855,10/10/2003,The House of the Dead,7000000,10199354,13767816
856,10/2/2009,A Serious Man,7000000,9228788,30360570
857,7/30/2010,Get Low,7000000,9176933,10828305
858,12/11/2009,A Single Man,7000000,9176000,28142379
859,1/10/1991,Warlock,7000000,8824553,8824553
860,8/12/1988,The Last Temptation of Christ,7000000,8373585,8373585
861,6/18/2010,Cyrus,7000000,7468936,10062896
862,9/1/1999,Outside Providence,7000000,7309628,7824358
863,2/11/2005,Bride & Prejudice,7000000,6601079,25269040
864,11/29/2002,Rabbit-Proof Fence,7000000,6199600,16866928
865,7/27/2007,Who's Your Caddy?,7000000,5694308,5694308
866,5/1/1992,Split Second,7000000,5430822,5430822
867,3/8/1991,Nikita,7000000,5017971,5017971
868,12/14/2001,The Other Side of Heaven,7000000,4720371,4720371
869,9/28/1990,Dark Angel,7000000,4372561,4372561
870,6/27/1986,American Anthem,7000000,3571624,3571624
871,11/12/2004,Veer-Zaara,7000000,2938532,7017859
872,5/2/2008,Redbelt,7000000,2344847,2667084
